name,polyline,osm_source
Merbau Road,yi{FytxxRLDDB^P|At@L@H?RDDD?BAFEDEBB@VNDBqNsHHD`@Td@Vt@^NFdAh@n@XrDxBECACEMVV_BeANF,highway_name
Saiboo Street,}~zF{|wxRME{@YnGvB|Ad@a@K{JyDZJxAf@F@rBr@rAb@d@NRFmJkC]MMEbKjDt@?_MyDN@,highway_name
Merchant Loop,{zzF_|xxRMGgAq@lANJDLH{Ay@@FAFCDODGCGCAG?IBGDEFAF@FBp@d@,highway_name
Clemenceau Avenue,ytzF}nxxRQIw@_@mIgDuAo@mBy@g@S}Ay@kCoASIia@}A?d@BJFHHDFBnq@jHh@TyDcBdCfADVuRqIm@Ss@Kw@Au@Fk@BpJv@JDfFfCrAh@lKfFOGPM\PuBg@cAc@SKo\yJEEEECIbK~@dYhMf@RPHu]wOfAf@fRpIb@P{ZkLPAH?vQbHqKcEiQWwAHyAHcCFrMkA|@EcT~@n@AdEKbAEiELt@CfEO~DWlDSxEFD?uGVK@w@DoOXa@XuABxFe@wA^|f@bE]M_EoB{As@kDoB}@EX@y\hBQBfSw@q@F,highway_name
Merchant Road,m~zFwtxxRDGDMHQxMkRKNMVED_KxOEDE@A@A?EAAA?CAOlIcLCo@x@aAXe@BEqCjF_AlAKPa@r@cAdBi@bACBEH[KDQBQ?Q@IBGWhC]j@ABCFIP~IuPsJhPtIkMtEmHGNQMHOmFbH^c@uEnGPYh@aA`@k@HMTWaCzGoAbA,highway_name
Read Crescent,etzFodyxRAAOMQOCC?E?YBKBCBAd@?B?D@\VDD,highway_name
Tampines Expressway,s`pGk}zxR_@q@c@u@m@cAq@aAy@gAu@mAu@uAq@uAk@yAc@uAxnCmzLCM?A?C@EBMNaAnmBkjE_B|@kAt@yAdArFwErAs@|@c@hAe@zAk@zAm@sSrKpA_AfAs@eGvFiBdBsAxAcAjAw@hAuiCjoGyFvE]ZmBzA}FtEcFdEcCpBeCpBw@n@s|@rhCUnFItB@iJ^cHcAlSf~I}`OEHGFEDGD{BxAiDvBcn@jSiD`A}AXaCb@pEkBFKDC@ApA_@}jCh{E_@dBm@zDhLca@{BdGi@bBmAtD[KpF_PqoCjcNv@x@~@~@hAjAXV^\r@n@x@`Ah@pA^lALjAJlANfHf|DeuQ@J?F@DETOn@ENkNfH?I@C?A@AJS\{@Tu@Lq@Fk@xE}G@R?D?H?FAH[`BC^B`@DXJVRRTL^B^Ed@Y^k@Pi@@YEUIOMMh^u|AbAYPC\AVAZBRCvc@iObOuC`Ds@jB_@rA_@~Am@xGmEn@e@|AaAd@YnD_BVIyFlFsAdAu@j@u@h@iAl@mAb@iAZwAXqDl@eDp@soCr}DocD~qHC|IBtCppIwmOgrG~aJx@s@bCqBbCsBbFeEtDyCz@q@{r@rp@{ArBeBnCqAnCpzB{}CVaAsBdOg@nDIb@aAhG]hB_@bBaAfDjiCy~FqDxBm@N_Bh@sChAm~Bb_GqA|BgAfBiA`BoAzAuAzAaC|BuwBlxEBiK?w@BuAlAfmA@fCzD}kCGv@YdEa@bHhiE{nIBa@BU@MFMHKLIkk@vsAKRSb@S\WZOJSNMFU`@xfAo{Ct@mAbAmBfAcBdAyA|@gAvA}AfBcBu^pjA}BjLi@dBo@~AkAbCk@dAaBzBgArAzTm~@V_BVoA\JSjA]hB}gEvzHhBiDxDaHtBsCkJ`RyAbDcAjCeAdDaBtFc@nB_A`FQhApcEkhHhAaCl@_Bj@gB^_BVsAz@_G\gC}X~o@a@f@_@d@k@bAcArB}ChHs@~AuAbDUd@]x@iBtEa@x@cAxBq@jBrt@{eAS^WR[Na@JqA\e@J]L{nE`jIn@gHnuAe`CzCeC}xA~zBz@yJ|@iFhAcFxCoK}MtzFA_D?YA{@CiA\kGD~E?hG?rBFtBLfBJbAf`Ba~IrC{BhC}BvAsArBqByoBreDw@tKrbCyfEbB{Dh@_BdAsD^cB\aBfAoHtAmIksBndNGxBEhAKhAbrCkoPl@{A~CqHbAsBp@iAj@y@t@eAhD}D}Ulc@Zo@f@iA{kD|fLBrELtSfBlj@|@|CbAlCVj@n@nANVj@|@bvCyhNMk@n@iB~@_Cj@sAy_@jyAoRdWwEjEkBbBc@^o@f@OTfNwN`AiAyy@rt@iA|@uBfB_CnBYVmBfBgBfBONmAvAw@x@o@v@iKhpIOMEGCEEIgAcCnMokIdAmAjz@{s@gw@np@h@i@rEoEjCwBm^jf@uTxjAu@dbCAkA{@}kAv|@kjDj@g@}{@drEApA?v@?hBSxIGsD|dIm|Px@i@r@k@omEthHtAsAxBsChAeBTc@Tc@zbAmmCdEsLbJ_]hA_IkQhs@x~BylCu`FpuHQ}@w@gEc@wEa@}Ec@iCgbBjzGFi@hApb@q@mItAfmAMeAp_FcxQRi@^gA{AtEo@nCkjA`bDiuC~fH?}Av@fVFlGn~D{vKdCuCyA|AdoAw`CeoGluP?`AFjGOt_@KySrSn|A_Pi\a@kB~nBalJrLkI_AtCKj@Aj@Ff@^`AkRoFh@AfAJsfBh}JZt@wCgKmDkuBdrEsaLm@^g@d@wCxDyq@zvAp[}}@n@wATc@hAaC`B\wA~CS`@[p@euDplLdGpuABBDDfgG}uSjCs@{@Rqf@h\EHw@pA_BzCaAtBw@rB{@hCq@tCi{DrnH}c@bbD?`@j|EocMmAzHuAtK,highway_name
Central Expressway,wkoGew{xRpI]n_OrtAyA]y@O}BUj{CtZWa@OScqC{WdA^fB|@r@f@|@|@zAbBf@p@lk@f@V]l@s@fAs@dAYrBUpBElA?xCNnBJxBSjBw@hC_AnDe@jCKfB?vATtAd@~ChAhClAsbBhNy@m@_AaAs@kA_C{De@q@yA{A}@{@s@g@aBy@nw@rIkBbCkB|BiTpEh@FdAHv@DfAExAQh@Mt@SpAq@\SaaEudCqBBiB?z{Apj@w@mAiAoAgAcAOMyDaDrb@xu@BFPb@d@~@~@|Ax@bAn@n@hAfAppDjf@PVmfG{iC]Ea@C}@?sdH`T^Gzg@iKlAI|@EvAAhABbADdAJdAPhATdAVfATr@NcWiAsAPmATqBj@{IxCa@LmCz@qDbAyE|@oAPcAL_AJ}RVwHIwDGkE@kD?mDDaFDlz@y@~@I`AKnAQt[gJfBc@|AYtyA~WuBMaAK{@OiCk@dpAgPxNiDdFsAkx@vTUFiAXi@NoDr@tjAc[eGbCyEjAgDx@j|@{JnIKvsDhaCBQBI}a@[f@b@j@j@h@b@`B~@`An@pvDrsAFbA?fAYjBCaFMw@Qs@_@w@u@aAe@c@i@_@o@_@bF`PRoADaAOzDKZeAhCs@rBm|@_mBTYJ[Fm@LhIWOuBiAcFyJN[T_@hAkBrAcB^e@Zi@fb@b_AdAvDyAgDo@eCW{@]_AYq@e@e@a@a@c@]_Am@eAk@HOhAh@`Aj@d@`@b@b@f@p@`@v@Vr@Tx@eLqKw@e@c@[a@_@_@c@U_@MSSWlm@lz@r@`@h@`@f@b@r@~@^x@Rp@oN_N~@v@~@v@|@l@kEkCc@_@i@m@e@k@_AeApJ|I_Am@_Aw@}qEa`B_Bi@qAi@oAo@mAw@iA{@`E~ANFDBTHJDPHLDHDNFbBn@z@RjAP~Ep@|@No[{JaA{@y@aAa@o@{Voo@zC`FpBzGu@oBq@yAu@yAcAgBblF~cCpAdCf@nATd@HR`E~Gv@bAn@p@aFgFy~Csw@yAaAg@_@|nBcHmDwA`DrDs@[a@Sy@_@KElKlCOBQA[Ie@]g@a@oAeAvC|A}lEs{AL?D?BBan@{c@vARrATrDhA~vFvbCuQaIf@}@uHgDoDwAk@W_AYuASgBAyBLuBZkAP}ElBiCZ}BMcEUyCPaBTw@Vo@^aAx@ldAKtDdB~@f@z@f@cA|@}@q@gA_AKSEU?SBQTy@wiA_@b@QJAPFDJHP_jAkNRDXBjCXr@F{eAmnAq@i@lAPXXz@n@gC}Bc@Xq`BaWfBWfBQNARA`fAfCv@h@tAnAh@j@ybDzRjDu@fHkBn`KdiBfB`B\`@V\evGggC_tI~VlE?lDEnDAtaRf|BV\dArA\^^Xv@d@_vEadBnApDfAvCrcBp~@r@y@{DdGu@b@y`FgcCaBb@g@LqkA~YgDd@aIZ{Dg@|DFgqAyVa@E_zBbOwDD}B[vHMq[p@vM[J^yBDaFJpoFxDu{AwUC@C?oB@KYyA?xfFwG}ADiA@|yBtjByfIi}AaEiAqAWaAObuDeGgBNcAN|R{@eCBgCDgA@i@B_@BjdFrtBXKXENA^CiwNw}AX?zLDpD?vCIx{AiCnCn@jMdDpHhBh@L~Ab@fARx@N`AFpy@_LvGcBxCy@pxAsAg@Us@Ws@Ow@Se@Qy@k@wBqB[Ua@Q_@Ko@K}@CGBxkA`b@bAbAfAlAjsE~aBn@tAv@xAoCkEOWh@`Ara@dq@v@zAk@Sk@cAq@sAm@{ApShw@V_Agx@ktB@Y\{A_wHiuBtAC~AEvLMx@CjCGtXG_BEt[nNp@t@~BhCxA~AyFoEu@{@iDwDaBuAcBcA|T|RaAIqAwAjfBdkBz@`A`CnBt@`@z@VbSkBiCzBy@RgAT{@JoAB{@CcAKk@IwBsB^\DFwjL{rBtDy@lDkA~|Ox`Ci@gAmcH_pCf@AirA`T{ElAvLgDpKqC{EnAwlBbFiCq@{EkAbaKvmBoCvCoyKi{BxzHbbAI[ewDev@x@UkqBaDfDz@b~HtxA{z@qkAibFy@aD}@`oGf`AaAoBQc@khEw|@zCs@}}F|AoA@`fE~CgASsvBkDmBF_FJuACv{J|f@w@}Bu}As{@zdBrhA\`AeA}Cr~EzlBg|G{qDk@QkBc@i@Iny@ds@yiMsXoBHnpH{Nj@Mh@Kpp@qIlEC|m@~AhKtH}@cAzfFjvBaFsFfEtBqK}EocArCf@}@{DtId{AGwBs@wuAqAioCmqBfuCfiBi^jPyAq@xB`A}gA_}@jAjCkiD{`ALM~oC~TcfCyV,highway_name
Telok Blangah Road,yqwFszpxR?Uh@CAP~YcsAsA`DqAxCi@jAMZM\nNmtALDPDH@PANAPEo@vF_AeACEr@lo@lAwBWlCEDQZqa@hnA`@yALg@jFe^Ep@Et@E|A?JOwFBMPw@Ri@`F_G{@tAiDjHfWc_BRV}VxxAiAxDjWej@FKeXdn@lJeUNY`Syx@AM?WCg@~@~CBz@ImE@XsNdl@Zs@Xk@b@s@`AyAcQva@{@`BW`AdEaLFKP[b@u@nUcdABF@NBNgBcFZd@LRNXHTHXJd@mj@rlC@w@`l@cnBC`@E^CFCRSv@h@}F?Ts@~FeAvBa@r@mHlNCHa@z@s@dBw@jBsMha@A^??IvAGv@El@ATGf@UhBe@dB[dAwC~JYzAzi@akB?L?@C{A{DfTcd@zyAK`BE|BCbAzBiRnDm[DIJCJ?tUeo@Ze@fFmJFU@GD]DYBSD}A?YO{I?_@kAiNSYw@y@dEdL@d@_@sHuDaHt@bAw_@`|BIcBTu@FMR}@|BeOn^ogAAUEiCkGb^sB~Da^`sABgBNyB~Mir@gMjy@p`@wqCdI|a@uOxYuAhEPs@s@lCJa@_@jA|KwUbGeMgc@hnAP}AT{DHsAjByMj@cA^m@HMJM|@yAtCuFxRkg@oi@thB\{AnEwPba@wfB?CL`EEoAT~P?Q@IaAtFVo@qDnKEH~DgHNYg_@ry@|DmNf[k}@SqI{@q@Eu@Ie@G_@I[IWyd@v{BJe@hA{DnMej@`D}FcAlBvLoZ_IpNLa@FOL]DM,highway_name
Ayer Rajah Expressway,ehfGatpwRPEJEJG^WfuMuke@K}N_g@trAFOFMF[|FoHITENsCwAdAgBjA}A`AeAw{CvdI@H?FAFADmaC`pDW|BzDeZBP?JEb@?JMhAiJzd@?W@MNk@xE}VbAoHoCjSXyBUvFMjAe@dCQj@rfB{oCCLCDEFyAlA_|A~aPfAd]HjCZvMsBuu@YxCCyC@o]@i_AFiJZiJGvU?~Hf@u_@]hJlE}mA@gCEwBQ}BqCh`AdEgt@K`Bg@tLe@pLdAqi@N`CFvBeEeZqAaJcHog@W}AhDlU[yBz@nB\tCrAdKqCsSoOi{B?H?BCFCFcpAffQuNdPlQiThb@sc@lF{Fei@`l@{B~AfiBulBm@|@}@~@cB~AvDoFN]d@gAT{@Lo@Hy@DeBA_CG_C_@}JmGhe@bB_Bz@}@oYf[}@~@yGfHcG~GzWwiM{C}TlqI{dUFi@Dg@Bc@?g@Ae@Ac@Ec@Ea@I_@K_@Oc@gBmD}nBzsJgCpE}BzDSVuA|AiBbCi@h@s@j@bJwMnF_KpZmf@c@|@[l@sBrEQXMVc@|@s@pAsB|CbCkGnAmCVk@f@eAhAoBf@{@bEaHR[lBwCdAoBp@gBb@iBTmB_nFfbIERU|Aq@vO@r@AZAZtAq[\gB|yCofEy@dBiwAdyBqAhAuDxD~bByhCJMNQbAgArAgAmzBr}CNOhFeEj@g@g{@xjB\}@kDpImAtB`nAecCzCyCdc@{]c@h@}AjB~DcHTYh@u@q@uG?S?a@Lc@Va@VSx_Cg{D?SBSBQFUHQevJdn^tL_NcLnN{BdCyFdGyAzAUZdeBwjBAJA@u@bAs@z@wAzAQRKPl|@ciAB_A?}@CqAIaHuPqhJf@~DzAvKsNmcA\~BrlF_tJI^AZ@NFRryA}iFsAxAy@dAvBwDbFcGXa@R[R_@LWL]Le@Hc@B[Bo@\m@A|AEVCPERI\GRMZO`@OZU^Yb@fBi}AMjAI~@Ep@Ep@Cn@?t@?x@?t@@t@@zBj@bi@uxL|}d@QPzGaJn_B_vQt[wlAo@dC_@Mj@_Cu@vGjB_M`@cB|cD}dEkCvB{@r@gmDttFU[[]OK_@U]U{Ntq@C\Gr@AvBLpBrSu|@FUJq@g@jDFo@@KtAsGLw@BMTuAbAhLENAJOd@bvBseDdCoGN_@wWbg@h@g@bAkA`AuAuTdS{ApA[VpQoMg@ZgCbBgIpETOjDaCp@a@jb@_n@]n@iArCs@rBe@rA|{CodIBUerC`rHEJo@lAxwCuyHWr@Oh@ywCtvHajFldX~lAuqA~DsElDmDhFsFhCeC`tH{t_@h@g@}@vBiAzAwdHjyWVcGTkGn@_MblG{nUEbAnKuc@t@cAmApDYl@o@`BoBdE|_@m|AU{TA{BAw@?s@?{@@s@Be@emDtcLVg@LSllDewLh@vAHd@BNBLB\@d@?b@Af@Er@CRc{HlmXcAyHxBfKbBpLu\yvCw_CpsRz@}@xB{BzFgGyK`OEHCL?H?H?H@HDPnaCiwQo@y@[yBiAcH]yCE{BFuBf@uDLm@~{@suB}@n@?WyFjEdHqFgANn@g@rCeCrAiAgZtX[r@[r@ADkAbFpBkJr@{@|@aATSgDhEaFzV}AzJ_AfHt@gJns@egAfDgD_EhFy@x@iIhHzL{KYz@mBjBgJ~HCBWRhP{NfCsEIr@~JiLHIFERUzByBn@o@yD`FIHj@m@dDiEi@lAIHWVbb@gb@rCuGiEzK{A`ClDwF|CwJA|AmAvC|R_g@vF}KZo@|@_BN[`CuEn@uATi@qGnOyArCk@nA~CkGxJoUrAoCuDfKkAdCm@nAEHhQc[z@s@vE_E_HnHKHcA~@wA|Am@v@tm@{w@fA}AV]mCxFZe@vB{Ep@{@LQZa@gApCSXeAvArCwDlMyWegCl`Ev@g@r@e@nA{@{EbEcAn@kCnB|~AkcCpAcArCqC|AsB{JhLYRWT`Aw@mo@~`A|~@grA}x@djA|_DcdIwBvCrC_Gl@q@_hHtfZElL?|G?ai@[N?k@\jl@BnLc@oL?aA?}GA}GlEleC@n@@x@JbECvAMhAUbA[nA_@~@\if@ObBOgDw@}XAc@Aa@`AwlDHrGKvBOrEx@aScNqzBCSuAkKiBqMnFf\j@~DPfA{Hgf@iAsHN}A{Ci}@FKnAsBtFgJoHvNg@z@y@tBe@dBg@dDGxBDxB\vCfDeYUf@[r@_@z@Yv@bPy^Ha@DWP{BKzDRq@b@aCs@pFs@|A~@w@]r@EFo@fAz|GgyN_@cBVsA^qA\aA~@uB|@qAeExQGf@IjACl@{GdZo@fAU`@s@vA{E|IrFaMZi@`AeBpEqLHa@D]NqADe@iRpf@q@vAgAvCq@|Bk@pCa@lCUtCKvCW|JvGei@`@y@|EaJ{Ozw@W~Jo@|Wf@}c@By@T}JLwCV{C`@qCl@oCp@cChAwCeIfrAWdBc@nBu@hBgArBw@nAdFiTn@yWp]ewAiAtDmBrD~DaSs|@npDnBeFagAn_BbY}a@OHo@\uhDxsFuChtC]BIk@nyG}mRWzBksGnwM|dFggItAyB{hFbhI[Gx|CccF^NtvB{}Fe`HlqQJv@YqBfd@woDxtA}vA{oB|sCf}Ho|OJgAeQb[i{BxkGRy@BCFQniCmlKemIvoTqAxCXs@Xs@FQzNzaNeCdCgFxFlZw~PdIkR[VSR{@v@EDaMxrK?[?WDkFd@MzBxiCIiByCk~MCxdJtzH_h[qlJj_b@uLlMqDrD|fAecC`iGen[v@_B{uGv_R~G}~CkMdbCnvF{cMXm@Te@R_@N[grFttIaJj`BHd@l@nEnr@syDszDtnVOZMX~`Isy[\m@{BlC|@{@h_A{pA`i@ivCsEpVwgGtkLgFtS~e@mcAtkDozEv@_A@ADG}eC~uDe@d@eC|Auz@by@VgAnImJjFoENMpjBwyB|vCexHoyHtwP@Nf@hEtqIqsTDq@F}@,highway_name
Seletar Expressway,o_pGyb{xRBa@@S@ODi@Hk@Nu@Tu@\y@`@u@t@_At@s@fAq@dAe@h@Up@Qx@M~@KNAXCkQxVPjA\hAZ|@`@jARj@hQm`@{BLmAF}@Ly@Pq@TaAb@gAp@o@l@u@~@_@n@[t@Sp@Mn@Kl@Ef@Ct@@t@}wBviIb@Db@IVMPSJ]??@ELq@LeA}AwCAJCHGLINwA~BO^E`@D\JZXZcXjZ?LAFCJEJGNY|@nmDiqEMOCEAECEUaAEQg@yBa@cBa@mBsAsSjElXn@dDN|@Jf@iBaGmEqXs@aDx@twBRmAVmAp@oDx@_El@uCj@yCz@aHkA|Lm@tCw@|DG`@k@nCUpAUjA{FdM]\eAx@uBnAcCbA_E`AsEhAaD`AuDtAs@ZgcCtmBtBwEjBkEjC{FcFzMoBpEsEbKmAnC~hDewJe@}A[eAk@kBnE|h@AhFHzEPzEPtCXtC^zC`@zC~CnRDTy@q@SiAyrDnzGre@hyCaEqEW]MYKYG[G[A]A]Be@F_ADo@AOCQGUIWOWUYeD{DpPf]MUkOyMkBgCfIfJu@a@_\sd@x@vAt@fAj@v@p@x@tAdBpBrCjGpIZ_L`@Vj@d@r@t@ZXTJVDJ@tCFwIbHZTXJZD^?ZE\MTUL[@a@Ac@Oa@W[]Qa@I{@GoCG_AEtAlDiDwEsAgByB{CdLhB]Sy@[y@SaAGw@?i@B_ToiBnAwDbk@pnCkA_AwAkA}Yo^gBgCoAqBgAiBoA_C_AgCcA}Cy@}CSaA]gBk@oDc@uD_@wGbBk]Mp@Wi@`@yCf@sCd@}ByCpSTaCFnCQxDI~CArDLbDJfDRrCb@jDf@fDn@~Cz@hDzAfEnBe_BoAnCgAxCwAlFQn@vyDg_Is@u@c@_D_@eDYuCQuCSyEE{E?wD@c@vCfi@bB|EkzCpoLiAqAqAqAk@k@s@m@u@[w@Ow@C_AAsAAyBBkBHo@CnlCmaG~@c@fEaBpCy@tEiAbEcA`C_AnBiA`A{@uc@lQ_@OWn@qDlByC`BqBzAw`B|dApA}Bx@mAd@s@eLxUu@vAj{CgxIHd@\|BLzBucCpeOhwCw}I`@uGFcDBkEKsHOeC]ri@[bBkfDxsHhBxBdArATZN^H`@D\Ad@ElBA`@?VBXHZJZNVRZnCnCveCu`OMyBY{Bh@~J^@EpBBnCrCly@qKq|AUaB|]~uDIjAGbAKdBe@dFh@ud@NvCuClo@YhB_lDrmHJ_AlBBbDDeKGoBeCCPAN@RBPDLFJLLJHNDNBYyD]XhTeqDjG{HzEiGlBuBjAwA`ByA^WZSd@Up@_@hB_AvCeAzC{@hBg@jDaA`HmBe`@vNkCvBaBbBbVwMgGjBoCjAlw@aZpBaBrB{AlDyBnDkBc[zSc@P}HhCeA\wA^jY}Ld_Akn@RyAyxDdfG~CrFn@|@lB|Bx@v@p@ZfA\b@PXHjB\pAb@j@Th@`@h|Ci{KghAvvDpH}Cy@j@isA|}FsAqA~QsiE~Ad@RF|cCoaBW`A[`Ak@nAYd@s@dA`Le_Ba@wBomCxlDy@fAiC|CiHjJ{FzIk@hAwAlCg^l_AkCtZAiBDsDLiCzkBkmCvBo@lFcBhuAwrHgAF_I~dGb@u@}CxErD_GZw@TaArBabBwjDxgFGLKZMR[TSH[Dc@AtEiG_@fAhsDk}DqtDbnIXFRBL@n@Hb@Lj@N`@N`SpEh@@f`CsvMD}BFmFRdJ,highway_name
Turf Club Avenue,e_uGwahxRPExA]l\}`AlDfEvCnWJ{@FcADeAAyAIuAQkAWkAq@hUh@{AQbBcAzBeAhB_ArAcAlA}AxAiBvAkBlAmBbAiBv@sFpBza@m`@e@|A{j@j`@~g@ez@b@x@`@x@Nb@Nd@{^jo@rBs@fCaA`@SpAm@jCiBhByAtAwAfAuA|@uAv@yAnD_TD~@@T?pAAnAGjAqf@pd@]HsA^SDjGmCf_@cr@aAuBmAgB`D|F,highway_name
