name,polyline,osm_source
Ang Mo Kio Street 11,swjGwhwxR@O@Y?o@?[OaDAO_@eGAQEk@Cg@AM@QDQBEFEFCFAb@vUAVAZEZG`@GPj@{Yg@FM@I@GFAHAJAP@FDj@sAt_@DMLBENbI}c@LA_F`M?N@LB|@B|Ag@lFFSHc@Dg@UdCOh@Ol@c@dAR{@`@}AiA|EHa@lCaa@HA`AEH?TAH?d@CqEtLWgDAUWhWKf@AHxA{IO_EEu@WcH@P@FBj@ZnDZgLo@D,highway_name
Ang Mo Kio Street 22,qcjGowwxRQKUWQ[I]AK?O@Wd@sAUbAEXAP@NBNDNFP@@HJJLLHDB}Hog@XJzFlAWSKIMEWEIABKVFRDNJXV~B`RK^AFjBiH]nAOl@K`@Ol@Of@VzSoAWxBb@nCdA?EAEACCCGCCACA]IYIICc@KMCk@WLBxA\z@PB@J@B@DABABAoQaj@R@~@FQFYAg@CU@jC?lItHKc@O_@oB{BbBxARXoAlLPw@FSHYJ]Le@@GBIXcAkBdHwAfGf@yBPs@qAzFVq]NLdE`G@XCPQ_CDNFTBP}Dh]j@Fg@Qb@N^qPETa@dBU`AQn@AFlCqVgBwAxCpEcEyFoDqArJvJ?S,highway_name
Sims Way,on_Geb_yR^GhCa@zZgJ?f@Gh@{z@|Ke@CwAM_BIl\KcBR`PsBi@FvPoDRGVOPSNS\}@`@}AFWpANgH~GkANiANm@J~LiCOLULOHmO`C_BVQBmDh@oBX]Dp_@cIGRINEHkUjDRE\GdK_BfDaBDMAlBcB\oOtA|KiBaFr@tCc@nHcDsx@xH`@F,highway_name
Mountbatten Road,ga}FadayRAXmLk{AhAfDqB{EEKIUlMf}A?MDmAHcCo^p[W\wLj[FSXuAle@gvBBLR|@sd@|rBMXSj@S|@ER|d@s}BPlA@NKVCSmNjqAFEPQTS~@i@j@U\IZIp@KiF|CMJo@n@UUS|@uAtAdMojBSi@AC`Lv_BIHIFOJMDKDSDk[vMJMfTwMvDG^GLELGLGLKHKLSel@xo@tLa]yAlDm@nAkAjDnIkQjBoBsB`Dc@p@kAbBkAjBu@Jp@{@DGzS{tBBJu\xkCCf@CpA?Rdp@_tACUESe@oBGWiPgu@qAeDDHJRBFj@xAiDaGOYCCvKb]O_AdAxDTbA@\eNae@Td@l@fAt@pAnBnfBxJcB@GBI@IBYR`@ALCLEPgj@hg@tAyE^iAHY~@yCmAdGSv@nB}IfC}DvV}fBHb@N|@hHj~@BXCZe_@~a@qJzVzd@cqBtAdG@JvAnGBFkO{j@M[Q_@hAtChO~hApAoHXaB@UoAxHf@qCoA}P_@aBeEuQYuASy@jF|cACt@gCjEU@aABbEmACDCDkGdAE?]@m@B[@w@Dk@Jq@Tg@R{@f@URvTgQElCCeFD_A@U?OkH}_AvHbaAm@ue@AGm@uCgGq[Pn@HVsA}COc@tApEPl@aHkRYg@xQpq@AGj@rd@KW@QQvEuSs~A,highway_name
East Coast Road,{s~F{jfyRBPJ|@Lz@Jx@~h@|p@qDxAum@_aBp@M{Li_@FZJ^lPh\s@LMBkOk^CQMw@IcAzDlOMg@KYm@kBnQz_ACSUcBCSGm@Io@AGKcAK{@eOgu@FP@Fv@dCnLdm@HCx`@zeAFCv@]`A_@{t@obC@A@A?CAASmAhb@dxBDEj@]n@a@wO{YKw@?CaPc|@EQFCDRnDdKBFn@lBgM}g@@Fb_@nlBACKQqA{BlSt]eAgBrA|AXb@JRf@x@sC}EBFgAoAGKkAuB}@}BHLPZkYwmAF^?B@Ff@dE{@oF[eAb@dBiN}j@DVJn@`DxKBh@zNnw@D^BNkAmJBV|D`\\dCBJDVDHPj@Kb@Qm@GWCIhMpTaf@ypBK[tp@fbCYc@kEyIR\Vf@FJR\wMaUVb@V`@qEqIk@cFAKh@`FKaAE]]eFJv@@LPrAkRsgAFj@F~@c@cEZfESgCfAfGWkAxIb`@z@~@dCw@DAyH_PsA{CoBkGAYBHvBlGjHjf@bXpu@uBwD{MsUPb@_]{kBFh@BRx]zkB}FuZGa@bFf[KSIOKQ{MgaAdJ`p@QqABTQSAMEWjA|JiV{tAhPdu@GHi@yFN`AY}@E_@K}@oPat@HAEVQiBpPnf@}Poh@nl@|tBuTa`@_SgfANbAjTfmAzGnTT^`AzANXiEiHvTv`@gHaMw@wAEGmD{FKOpD|Fa@o@rMxPo@XxAo@TIp@[NGqx@{gCf@EPC_AHbe@zvBGI[i@CCACe@y@r@j@oBcCy@sAbRfMo@^y@f@iAn@hBdEBFKoGA@eZus@kC}SoJ_c@{CyIlNnj@Ge@Ge@`@fDCYG]Ea@p`@tsAFENGBFMFKDOFlBw@EGik@mgBtIpa@CUl]zgAi@aA^p@oWgk@eCyUDZP|A{AiKOeAbIxm@,highway_name
Still Road South,yi~F}veyRB?`@S`Bu@xAKqAf@uB|@fJ}DQJIWPI`@SRK^KbSe@eCDeDFaDN}AHE@C?@[RCnARa@@l@a@p@AkU|HwAl@q@XMDdLwFnAg@jHgBNAsCt@YFi@Nm@CJV}PnGNGpTwIoI|CrCm@xTsCv@C,highway_name
Marine Parade Road,o|}FwyeyRZ|@Vn@Nd@Zz@hX|f@CMEMISi@w@Wc@mz@ywDBJp^jjCEOSw@WkAbAhCHTQJjGpRMCG@Yg@ACCG?EDEBAB@d@t@gL_h@BPX`CL~@iA_FAI}BwQDZf@vCvEp[DVBN@JBJyOomA@JBVRhBBVDXoDyUAEWcAdc@x{B`@n@Zf@{BmCKOOWuUseAIy@PE@DHt@`@rDD^@TD\DTpE|\M{@wQqxA@B@L@FBH@FBL`n@fnC]Qg@WcEuKR^DHVh@uf@eaCDRUDdR|uAF\`X|n@JNd@v@LVmAFQM~An@KOg@w@[i@qBuDo@mAEIOWGKcAcBxCdEi`@s~A}@mG]mCIu@MoAGy@IeACq@KcBAOCMCOQy@zZjlBWi@O[MYQg@m@wAw@sBk@{AKYeBeIy@oF]aCAMy@}FIi@W{AG_@_A_GEYCOCWC]CUmHwp@Qy@}@cEEk@Ek@SyClAhKi@aCc@sGEa@Eg@AQAQGk@gAmFWqACOe@aBIc@G[Mi@Mg@Mk@Ke@Ke@Ow@Ii@Qi@K[[y@k@_Bk@{AEKAA?AAA?AA?~K|a@BNBVDR@NBPJdBN~A{@cHAGCGCSESKe@GUG[Ka@oDaPwCoKHRr@rB`@fA~RhoAF`@XdHa@wEdC|R|Tp}@BBHN_LkWTx@Zv@JXiEoVuOimALh@Rx@`UncBtBlEHNHR\z@`JpTUa@o@cAKQeo@klDPf@tCbNTjAFXJ\H\J\FVF\F`@pIhr@fK~w@tTvi@}CmBKSZ^KEsEaNfB|CJNVtDBCBAFABB?B@V?Vki@}}CHj@\rA@B@DfTvaBp@zDxOfk@IOAEcW{lAFr@hi@xdBTZNL^BqJ}MZd@yJ{Nc@w@|OzVfCtD}CqEqd@w`B{@eIa@oCE]iBsRFZzOptAhFlPM[GOEKgZsqB`CzLBN@J@LHvABl@Dn@B^dOhkAg@sD~T|o@a@k@iXw`AN|@a@sCFp@l[teASoD{q@ihDH\H`@Hj@ze@|xCT^xBjEMUWc@,highway_name
Still Road,}n~FkseyRQHqu@xR`@KlHwAaCp@lI_DJEzAi@fa@oKPIgCr@\GXGNE}WjHuBv@YJkIjBhBi@FCdEyAJEXInA_@qVpIeAZYHc@FcALWB~Y_IiA\aW~FbAKnv@_SWJYHsb@jLE@dd@{M}o@tQvAa@rAa@n@UeOlDbk@ePJCpA[JAyXpJnZ_JI@mCb@eBh@oEtAMDmL|DuA`@oKxCr[uKDAhBo@|Ai@FCDArAY~Bg@`Dg@HAgRrEnRsDSB{QhElSyF,highway_name
Upper East Coast Road,{y_GcalyRBZ~@nM?J?DBR@X@FcM}b@Eq@?ABAvBIH?rIbqACa@@ABGlAOHsJBTg^e_C`@fA`Sb~@JCaQwv@FXHh@zKvi@@HBJrMzlA?V@ZqQuzAV|@FV{DeQNj@J^VlAH\HZDNlE|SHl@R~@FP@HFRHXLZVd@d@v@zFbm@LxBqQonADNBJ@DdXpyBF?lCFid@crCBNFf@Ht@tXzgBDr@wQesAHj@pTjlBFf@VfALj@BN^pBtAnNBZ{U}xBDTJh@iKud@Ko@E[CWCMCMvBfKJb@FTvUn_BFz@@b@PvDG_B@`@{b@ehCM_@lEzLc@sAKWzGt[Sq@Oo@Ke@Oo@Qs@ESvBhKAOEg@NrAPbAzApF]kAvBfJAIO}@V~ANv@Km@bBzFWg@M[IYK]dGdZCWQqBASfA|QGcBx@jPIkA?CCi@h@fJ?GHvAAWEi@NtC?IEi@HjANlBG}@E_@NvBfAvOIk@AKPjAb@vBAIKc@|@zEAGCQe@eC~B`TEc@OaByEkc@C{@b@pHDd@g\sbCtZhrBRvJHAF`AIgBEqA@n@uB{b@@`@@JH`B@LzIteADd@kc@_eDUiAG]Ow@sA_ESe@Ww@pb@|tCU}A@HHd@_Csb@VbE_Cia@JbBDd@BTHvA{@{HyBkMtBlLYkCmAeHTz@ZnA`@rBuAaGlD`\U}D@wATjD?FDf@jCxk@Aa@w@aOGu@GcAUeEQyCE{@~JbkAGg@ij@}yD\fAZp@`FdUFZDZHh@FXSKKo@nYpuBgF_iAi\qjAXbAfh@~lDGu@AQAAG{@TlAFv@KkA?BFhBHAFt@BP}D{XASCc@cEyy@w[utACKKWEMGOth@nmD?CACAOn@tG@i@c@qC?G?{@?BHv@?D_E{XRrAIe@xD|Wif@{kDf_@xkC}GgdAU_A_E}Ok@kAgOms@zBhHLn@Lh@}G}POMQIvA|BpLbf@jArGlMhm@ZxFZ~A@J?HBl@wNg{@RhAzIn^TXTjBnFdaAfFna@Df@gB_ROq@yj@eiDfKv[z@fDcAgEwIg\LDJDFHz]b|A}]iyAMU~Rvv@qH_]Hb@,highway_name
Bedok South Avenue 1,md_G{tjyRh@Mg@L@A@?@@@?@?@?@@@?@@@@??@@@@@Daj@fGfHg@h@G`CS|Ca@mUjCUBiBRmBRm@FgC\`i@sFI@oDd@dUmDgmA|Mq@?jrA_Owp@tHTCa`@jBPVRRFBDBTHv\kCu@Hm@Kj@IdBSfBFcBN_^tCV@h@C`AGrMwAfBSvAO`Je@nSkCxAQHCiC^rF]eANO@dLaC|@Q_IlB_PvBc@D_AH_AHS@qDX{_@`EuAHwADthAyLc@HyE^|AUxAWc}@~JrAOoAf@_AJi@Ddv@{IEXR]yEdAgWfB~p@mIgFbAcw@vJq@HwBVpBm@gHt@NAtn@yF,highway_name
Laguna Flyover,wq~FiyjyRk@J_Dj@hAi@HAFAhB[FAFAF?FAF?F?F?F?H@HBH@HDHBHDHFBDBBDBBDBDDFBDBFBFBF@F@H@H?H?H?HAJAHEJEHGHk@x@GJEH{PeCfGgBdCa@sKrBpGgAhHnFEJELCLCNCN,highway_name
T1 Departure Crescent,{mhGgjuyRk@RULe@X[LYF_@@qCu@r@}LJ@p@ReBRHUHKhGbBPTNTHVJb@yKpEMEc@OKKCM?ObKmGNFqIlBl@oB~JhCNp@H\DNk@sA\zA[iC,highway_name
Airport Boulevard,ukhG_muyRPZd}Abg@|MjEei@kOgAe@rv@rV{@WeE_CnAh@pC|@c\sEHb@@D@DBBDBHBl@Pcs@u]aKgDxi@hXCBG@I@E?IAEAGECEEGg@mAeA}DH?HCDEDCDEBEBI@K@I@IBR?F@D@DDHFHNLb@TEpFDFD@D@H@FAFADCBGBGsBsAGKGIIKKKIGYO]Mc@MYIGCMCSAOCU?nFeCFKDGFGFEFAHCH?H?F@jCx@iOVqEuAtGpAfAZpA\|HdChIjCmIeGcBhFpNfBcNoEgByAgb@aNfGvB~n@jXISE_@CQGMEKKO{jAoa@`Ct@|GpBfExAbS~G~EzA~c@fVFBtAb@qFqFkAa@IEIIEICKAK?KBO^gAFMJKHCJELCeh@wOEJCDA@E@}p@e\Sh@rkAfb@?EAEAECCCCECsC{@EAG?I?G@GBGBEFEDCHEJAH`DxEkZuKlAd@jA^qp@cTTLhEtAPBJ@P@H@JBty@jYyWgLqPqFaHuBsAc@kDgAvuAnf@|KlDqkBon@j}Ajn@HDJFNNcToSJ_@@EeYqFC?eAYsn@gRNNRTvqBbo@^Lmg@oU?HAFSq@DBFD@DBFwBnHCD}U{LjUfGfBa@?CADeDhAG@EBCDCFAF?DBHf@lACwBGAgY_LzSvFp@VHBrCd@hp@~TsiAs_@,highway_name
Bedok North Street 3,a_cGoqhyRE?eNo_@YkBMgAAME]q@cGBLJ~@Fb@@LpPbZBPkB{XCQgDvf@Ic@CQCOAMAM?O?K?MBkA?W?E?E?E?EAE?GAAGo@AE?CAC?A?AACAE?ECInJrDJv@g@iELdABRa@iD}Ie@EUMk@[yAqBoPA@??A@AD?@A@???@?@?@?B?B@D?DJ~@?D`KqFGm@E]MeAAEOmA?EACCCACCCCAEAC?E?C?M@|Crr@M@cCVC@C?C???C?AAC?CAC?AACACAAAACAACCAA?CACACAE`I_EDVHt@Jr@?B?B?B?BAB?BABA@ABA@ABA@ABC@C@A@C@C?C@A?C@yN}ZIe@jEj[yC_p@a@FrDc@k@FK@OBm@H{BVm@HC@C@ABC@ABCBABABABAB?BABb@nD?B@BHb@?B@B?@@@@@@@@@@@@?@@??@?D@nA~LrBxJG_@{AkHj@vADT@FLh@Jd@DP@FNn@BL?@@B@@@B@@B@@B@????@@???{BgJ@FDPBN_@iBBJOs@e@eDNdA,highway_name
Bedok North Street 1,mabGkqiyR?[?UCUCUCOAGMe@GWw@wBWq@u@sBAEIUCMCM]cBEYIk@Eg@Ea@ASCe@A[AUxE`f@?[A}OcFk`@BTF`ADz@vDdY`@bABHDJHVLf@DXBP@Z@R?\IhACTQ~D?f@AN@ZgG_r@AMrBhWFR@DlAdD}AoEaB{VJhHAo@As@?e@Ew@IaApFlm@Dw@Da@}Eob@?DDrCB`@@N@F?F@JxEt[CVARJaD@ImF_[dEhSkEkZpE~j@@]}Ewf@b@tGNdA^bB,highway_name
Bedok North Avenue 2,wwbG_~iyRHAmC\TE_PhBd@Gh@Gpa@iEWDcDb@I@rEm@{a@|EoANqANA?A?A@??A@??A@tf@oGJC{SxCO@mANyBBVEb@EFAXCdBSh@HFSkSvBB@@?B@@?@?B?@AdKw@k@FmB@hBSJA`UiCf@GVCj@I`AMaKlAh@Ge@X_@DkALtC[_Gp@mKlAhFm@UBYD,highway_name
Bedok North Avenue 3,mbcGssjyRqCXhn@kHyCZwLpA[DmDb@_OlBUBzj@sG_@BqRbBLC\Cs~@jLKBK@QBrDc@iBRxoAoO\CgZ`DvBYv@IZEaVvCREgMrAtEe@ZEXCa`@rE`AK|BYTC^G``AmKsAN}Eh@]BMB{JlAk@FKB}ARuRzBWBeAL[BsANk@Fs@HeALg@F{@Ng@HcANSDQBa@DcFXPCnNoBb@EmDf@zAWrADjWeDv@Kf^cEdBQe{@lJVCp~@aKRC@Jqj@`GXCBPaf@dFLCfQ}Bj@G~AQzDMfe@uFw@HbCWAMh@GF?}BTuTzC_CZtCq@v@KRCRCpCMAOcCZ_P~BcUtBlf@wFeCZwCp@,highway_name
Bedok North Road,{wbGkukyRQBe@He@N_@LYLQHOHQN]\SXILKRCFINeCntBJEAZuBv@yEfBk@TmYrCN?eAX_AEiAOk_@sClN@gSzACIAIAM?E@I?A@GBIj|AcaAN~@DRPbA@HsHuc@CQoA}OAn@@`@BT@F~DyPFEZQJEh@Q^KvBWRjqACKq@gEbB|GH`@Lr@D`@Fb@Bf@aa@ni@WHUFYF]Ha@Fi@DwCLyBHl^qJZOPKPMHKNQtAoBd@w@`C}DXg@f@cA\_A\iAZkBFu@Dq@Bs@?c@?_@C{@Ca@E_@Gc@kHf^q@`Ac@p@OPGHKHIHWLSJYLic@jILA|AOr@ClAC{H|@O@npAglCa@B_e@ve@BLZvBBLjBnP}@iG[uBbc@qp@b@EqoAblCe@\I?[?cA_@b@BZ@V@LAzBFoAJdnA}kCUBSSb@EuXhvADRi_Ahs@_@EKAKCQEsCi@i@Kn@OtCj@TFLBD?nAPtARwOaBKGGGsMLS?sBAI@rF?oHCOGKCGCEAGC_@Ud`Boz@YeBW}AaFk\G[eByLEo@Aa@?g@@M@e@Dc@Dg@fWeNpAOHAJCJA~Eg@ex@~hCd@Gb@Ip@Ob@O|_@wm@Oq@EYCKoRtj@`G_|A~C`WCQymA`jAlHWX?b@DN@v@Hz`AajABPnUe{@}m@hfCt@YYJUQvBw@nBu@f@SyiAxBD?B?WJFGhsAaaBEc@dL|q@yMoeACNSQhG|h@Lv@UB`@p@SHcyAvhAfTBbcA}nAlReu@I@YD{LfoBwIcqASyACMg`@lmBaMA~m@_oBCOJv@ZR\hCq@yEBNvPoWz@IZEz@KeBh@i@F_P~HO`@IZG\fLaKyCx{@gDyTpB`Ku@kFtPkl@u@He@FgnAddCn~@e{AV~AmAaI|Ky`@t@IyLnDZ_@TQqDjHJ_@J]Ru@N[Zm@Zk@kB~HCd@aWxtBvb@k}@bXekATEuHpAM@_NrhAp@bE}CsRr@tEtBnMTlAfAvI?f@?XEhACb@Ed@]vBYfAc@hAsL_|AqVpvBtn@ofC,highway_name
Bedok North Avenue 1,ggcG{_iyRE@C?A?A@A???A@A?A@A@C@~u@mGoCP{CRyAJiV|AUBvd@{CQBqe@~Cw@Jn]cCh@a@|AKy^hCTCpa@sC~@GPAcKp@f@EcGb@RCgQnAdCObBMpRy@}E\c@BO@_O~@e@BaTbBB?@@@?@???B@B?@AB?B?lIk@aAJl\gD^CcAd@tGaALAqd@vDfBStF[q@FtPcBXA@ZsAHeAD}CRo@DwRjBe@FvAOhFaAjBSzL{@dAM{T`C_@D`A_@z@Fa@DUDuFXn@Ijb@oDoh@vEjBUnHy@,highway_name
Bedok South Avenue 3,gb`GgylyROD}p@|DQC[Ck@Ea@C|b@CODWDKBc@J{@PI@ODmATob@IWFt_@T[@x@CK@dAMa@FG@_^iAXIf@IXCVARAxWtA^CHA}AHhCONCbASlAUHC}TX`BRtALb[mDb@Il@Mz@QsUpE`YqFd@KPENCY^k@JyXxEmb@Bh@QhAGk@P~Ae@qBVLCDAcAh@~G{Ah@BdAHoD@_@FlAIdRhATBWJ{AGtBHM?f@M@NyMgAvFl@gAMvU{@B?r@QD?PExAYNEs`@hAzj@iDyHrBxGsAiB\eCPc^|BaBO,highway_name
Bedok South Road,gk`GalmyRf@YPKwGlaBEWi\pa@h@Er]gWTtBDd@B\?\?V?DC`@E`@G\Kb@K^O^Q^W`@OPOPQPONYRIDQLC@EBSJKDIBKDGBGBSDQDUDw@HaEb@aKn@j@GxYea@DVw[ra@i@BfBOk@F`GiAjHy@PCl@I`@Ib@KFCLENGLGLGVQXSNMNOZa@V_@P_@FOHSJ[F]H_@B_@Ba@?Y?OAIA]Ec@i@oF_MwjACWxKxdAWqAqA_He@}BCIkDeWAGCk@AQAQE_AA_@?OAQGuACk@Ac@Cm@AYAQjKfw@NhAYIK{@_BsIvAzEP`AuVta@zJuxBh@_@LIHC\MZMz@[bIuC^OuMl{@ZpC@NnAjHVhAvBnK_Kk`Ag@iDKaA?i@Bg@F]ZeALYJWXWrAm@IFUNa@\]^S\O`@K^zUgMMFc@RiQzh@Bx@LbDDnAmAoXBV?FB`@`LkXhAa@vAMuCjAw@XSFfJyDK]mUf]Ca@D}@BTM@tFyR_AZYJBdz@rHra@gIqa@CQpCzL^jB@BDVgBqIAx@Y_BACgPrx@xUc}B_DhcAeD}`@Cq@Cm@dBj]WeCCKCq@u@yW@H?DB`@@Z@`@p@vPFfAdDvTkMtp@x@I|Jep@_@aBoPvs@vHykBRtAe@}GEh@?h@Dd@|IcLiDt|@k@iGIoAJaA{@cNUgFC]RFBZ@b@OiC~Ad^w@sRc@kD,highway_name
Bedok South Avenue 2,yvaGwfkyRDDBBBBB@B?B?~Im@lBMiB`@gCPQ@uCRs@DE@C@CBADADpZuCPCwIl@n@GPALA\CZALAiDTu@XhAIWBpDWI@uAHSB`He@G@O@[BkBJrDUuBCdAIaSpARAfAID?,highway_name
Boundary Close,e{gGyt{xRDCFEp@QPKJODM?QAOEKKKOMWKYIi@Kh@FZDl@LTBZDXBDADC@ATc@oOyB?EAEACCCCCEACAE?GAaB@E?IAE?ICGCGCGCc@YEECECEAGAIB_AlF~Dl@v@GAGAECEACACCACCECE?C?G,highway_name
Keong Saik Road,q|xFopxxR_@?g@A{@GyFaBBJ?B?BCL_GqADEX[~F`BTLNJ]EQAfMbATCPENM??BAiJBmA[cHcDdBv@k@WzQtDyFK,highway_name
Smith Street,soyFi}xxRJQVi@@CcDlFTBb@y@lB}D\u@p@sALYTg@@AJUgEdJ?BA?AC_@~@a@x@EHrAqC,highway_name
Bukit Pasoh Road,etxFomxxRKDQFuFlBHO@E?E?CAIz@?k@@@RBO?B?B?@w@t@BEi@p@KJdFyCe@L`Bg@aCr@,highway_name
Teo Hong Road,y~xFekxxRqAII@EBEDYXEDGFGBGBKD|@m@CBjECOAgEN,highway_name
Geylang Serai,ue`GymcyRHCD?nB[RCiEl@`@GeCZNA,highway_name
Geylang East Central,ip`Gql`yR?]uGoz@I_@xGro@?KAq@A{A?]?QyCeXQ{AWuBYyB?{Al@nEJz@wAmKF^BPvAvKL`ADXDZDZP`Bx@fHFd@BRThB@FBL@L@HJ`ADd@@BBf@DhE?P@l@CyB@l@DfG@`@?tA?HAZ}Cqf@S}AE]xB~QCMmE{^[cBfC`OUB~Cpi@AuA@Yg@mSc@mD]}CACIo@pBzY?aAKmG?EOyAgAwMFj@_@u@vCp^@\IaID|E@TgBk\|AjMsIPKqEEAG@uHLIuDvBClDIKcFtEMz@KnBh`@PcG,highway_name
Aljunied Road,c_cGk{_yRNCPE~@OyAr@]F~pBwRO@o@FuBR}eAbJ@_@?c@MQGEGGWEnAUKVEPr_A_GTCfEe@{gAnGsKfBVGhBa@`H{AD?t@Kdd@gDmADaDJdKaAv@?tNp@kA?gfAfI_@Jg@JODd^eHXEB?}GpAMBeAPxLsBBVgAJiALzDy@sb@fHh@OeQpDdEs@zBe@~A]z@SZIrGyAv@ShAWdAUeBt@mAVpj@eH`@Cf@Ef@C|@GJ?dKVh@Bb@@Z@R?rA?pACd@A`Iy@h@GN?{jBzQqCd@pR}DWHMDfHcBs@NvFmArJyAi@DtLmAi@DtBOG?K@|U}Al@@b@@aCRy@@G?@[[\rVHUBcG@_@Cu@CM?o@C}BIaAAS@g`@bCaAJhu@{B}UM}@J}f@lEfRcCeWxCDAjCnDBOBI@Ic@`CBKDWWzAHa@@GoRoBmHpBlk@qLeEf@bCYzh@oB_CKT@tAFsDBqo@lEcQtE_FhAh`@_JbMuAlHg@~BM,highway_name
Sims Drive,{~_G}t_yRb@GuLVF?@?B?sC{NFj@\bCBJzG~HJ@\ArAATCqNwS@oA?UXAAVGhAbCbTY@I@`F@aCAuE}O?MjLfPBAsLpKGwAEe@G_@CIZkY?d@TQ@VhBrPAGKw@Qy@O_AYkBEOzEtH^@qBD?I|C@}HuOS^f@pDMw@QiAz@vCVxAN~@^vBBJ@H,highway_name
Upper Aljunied Road,a`cGc{_yR\GU`@I@q@JH]`@GqOpCYB}C`@SDlIgAiALjJoAyBZm_@nR@LDn@@RLjBm@sGBOBQDMFYT|S@}@Ac@Ai@IoAMoBd@xNCVi@tDBwA@]f@o^Pg@JQPWNFQTKTGLCNK\rFqGhBUXG~AUb@EVEPCqLfC\_@eEjk@AW\{`@Mn@AFAFhd@oQi@Ol@I}FrA_@DMB{AApAQDAqMxB_@FgBVe@F]JIU\Gm@h@WZvYuFF?VEz@OeTvCh@Jg@HoLzi@AjAAVW\VB|Mao@LABRwM`c@?L]L@Q?Mh@}CC`Ac@hAxd@ig@_f@dS?OB]C|@f@`RHiAPnAANu@_PIkAbFkMJPwE~K@~UTfAAj@`Wok@{@JuUtKDOHSnTmJqSx]@b@QoRAJEN[rBn[gQ^GnAQw]z[@R?FFv@,highway_name
Sims Avenue,u|~Fqa~xR]kBYsAgf@{dCEYrUvhBEO?CCKjEzMCES]e[uwBCQAQEo@Ee@?IzK~dAAKGa@AK_LufASaClM~nACQyYaoCE]jDzXY_CIq@rBvPGi@nVn`CCKAU|Uno@EIEK]s@cPu^[uAGS|B|JGYmVukB_@{FCWr[z}Bw@aBOg@YcAOo@sEyRM_AACGUcBuNIaA?GE]Ky@iAkK?Ec@yDE[AOCQiEia@CUU{BACOqAGi@M{@yA_RI}@AQCUSiCEa@CY?EUiB?EAIGk@AEuAgLCWiEi]Ge@d@~CO_Atm@zgEKQc@m@z@nAcIoQ_Jwi@AEnUd~@Ya@ii@yoDAGlJb`AAKCYjAdLCSrHrr@AE?Ed@lDAE{@iHAICO`DnTKc@Ka@EUiVw}BIu@z@rHAGvGls@Ca@nOhlAAEf@vBSy@ca@wkDKu@AGAO\hC|Hbt@Eg@zRdjBjPld@fAtAMOEGyn@maEAEOqACOVpB`ZvrC`Id^uT{{ASmBAKE]e@uE?AAEC_@K_AdB|PuKmgAp@rFrLjmAAIIk@K_AAGC_@|MtbACMyKuw@fJ`s@Uy@_G{c@?GK{@oJe~@AUAEmC_ZAC~Fnn@DXLlAjAfLAIAUn@|GAK?A\xCIs@TnBhBfPIo@,highway_name
